,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x
0,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,100.0
1,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,599.0
2,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,1098.0
3,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,1597.0
4,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,2096.0
5,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,2595.0
6,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,3094.0
7,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,3593.0
8,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,4092.0
9,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,4591.0
10,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,5090.0
11,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,5589.0
12,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,6088.0
13,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,6587.0
14,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,7086.0
15,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,7585.0
16,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,8084.0
17,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,8583.0
18,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,9082.0
19,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,9581.0
20,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,10080.0
21,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,10579.0
22,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,11078.0
23,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,11577.0
24,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,12076.0
25,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,12575.0
26,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,13074.0
27,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,13573.0
28,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,14072.0
29,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,14571.0
30,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,15070.0
31,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,15569.0
32,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,16068.0
33,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,16567.0
34,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,17066.0
35,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,17565.0
36,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,18064.0
37,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,18563.0
38,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,19062.0
39,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,19561.0
40,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,20060.0
41,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,20559.0
42,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,21058.0
43,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,21557.0
44,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,22056.0
45,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,22555.0
46,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,23054.0
47,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,23553.0
48,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,24052.0
49,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,24551.0
50,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,25050.0
51,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,25549.0
52,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,26048.0
53,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,26547.0
54,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,27046.0
55,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,27545.0
56,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,28044.0
57,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,28543.0
58,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,29042.0
59,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,29541.0
60,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,30040.0
61,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,30539.0
62,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,31038.0
63,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,31537.0
64,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,32036.0
65,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,32535.0
66,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,33034.0
67,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,33533.0
68,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,34032.0
